"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","学芸大学",20,130000000,85,"","",130,"2019年","木造","","","南東","公道",11,"１中住専",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","目黒本町","武蔵小山",15,86000000,85,"","",105,"2011年","木造","","","北西","公道",4.3,"１種住居",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中町","学芸大学",15,82000000,90,"","",115,"2005年","木造","","","南東","公道",3.8,"１種住居",60,160,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東が丘","駒沢大学",10,100000000,85,"","",115,"2010年","木造","","","北","公道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東山","中目黒",15,200000000,180,"","",155,"2006年","木造","","","南西","公道",2.7,"１種住居",60,160,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","洗足",15,120000000,155,"","",135,"2008年","木造","","","南","公道",3.9,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,90000000,75,"","",110,"2016年","木造","","","北","私道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","都立大学",15,130000000,130,"","",170,"2010年","木造","","","南","公道",4,"１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","八雲","自由が丘(東京)",15,110000000,80,"","",95,"2016年","木造","","","北","公道",4,"１低住専",70,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","祐天寺","祐天寺",10,88000000,120,"","",105,"2001年","木造","","","東","私道","","１低住専",60,150,"2021年第1四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中目黒","中目黒",10,87000000,70,"","",100,"2002年","木造","","","北西","私道",4,"１低住専",50,100,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東山","中目黒",10,240000000,145,"","",165,"2019年","木造","","","南東","","","１低住専",60,150,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東山","池尻大橋",10,140000000,85,"","",110,"2013年","木造","","","南西","公道",4.5,"１低住専",60,180,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","緑が丘","緑が丘(東京)",10,61000000,75,"","",75,"1999年","木造","","","東","公道",4,"１低住専",50,100,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",10,58000000,55,"","",90,"1996年","木造","","","南西","私道",4,"近隣商業",80,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","八雲","都立大学",10,110000000,105,"","",165,"2003年","木造","","","南","公道",5.4,"１低住専",70,150,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","八雲","都立大学",10,74000000,55,"","",95,"2003年","木造","","","北東","公道",4.3,"１低住専",60,150,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","八雲","都立大学",20,180000000,140,"","",180,"2014年","ＳＲＣ","","","西","公道",10.8,"１中住専",60,200,"2021年第2四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中町","学芸大学",15,59000000,55,"","",65,"2020年","木造","","","南東","公道",7.3,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中町","祐天寺",15,44000000,40,"","",55,"1982年","木造","","","北東","公道",3.5,"１種住居",60,200,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中町","祐天寺",10,72000000,65,"","",105,"1999年","木造","","","北西","公道",4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東が丘","駒沢大学",15,58000000,40,"","",75,"2021年","木造","","","西","公道",5.4,"１低住専",70,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東が丘","駒沢大学",10,160000000,175,"","",165,"1989年","木造","","","南西","公道",5.4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","東山","中目黒",10,170000000,140,"","",145,"1955年","木造","","","南西","公道",2.6,"１種住居",60,160,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","洗足",15,78000000,100,"","",135,"1988年","","","","北西","公道",6,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","祐天寺","祐天寺",10,49000000,55,"","",65,"1998年","木造","","","南東","私道",4,"１低住専",60,150,"2021年第3四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","中目黒","中目黒",15,170000000,125,"","",155,"1991年","ＲＣ","","","北西","",5.4,"１低住専",50,100,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","緑が丘","自由が丘(東京)",10,65000000,70,"","",65,"1982年","木造","","","北","私道",4,"１低住専",50,100,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","大岡山",15,70000000,75,"","",100,"2001年","木造","","","西","私道",4,"１中住専",60,200,"2021年第4四半期",""
"宅地(土地と建物)","成約価格情報","","13110","東京都","目黒区","南","洗足",15,95000000,75,"","",90,"2020年","木造","","","南","私道",4,"１低住専",60,150,"2021年第4四半期",""
